age,gender,income_inr,city,employment_type,work_hours_per_day,commute_minutes,dinners_cooked_per_week,enjoy_cooking,cooking_skill_rating,cooking_challenges,dinner_time_hour,primary_cook,favorite_cuisines,meal_type_pref,non_veg_freq_per_week,dietary_goals,allergies,healthy_importance_rating,track_macros,orders_outside_per_week,spend_outside_per_meal_inr,willing_to_pay_mealkit_inr,payment_mode,priority_taste,priority_price,priority_nutrition,priority_ease_of_cooking,priority_time_to_prepare,priority_health,priority_time_savings,priority_convenience,priority_variety,priority_affordability,subscribe_try,delivery_pref,meals_per_week_subscription,desired_features,continue_service,refer_service,incentive_pref,healthy_brand_association,additional_needs
33,Non-binary,118184,Bangalore,Part-time,8,7,3,Only on weekends,4,"Not cost-effective,No time,No skills,No ideas,Cleaning up,Too tired,Waste of ingredients",19.8,Alternates,"Mexican,Vegan,Fusion,Italian,Continental,Healthy Superfoods",Vegan,5,"Immune boost,Sustainable eating,Low-calorie,Quick meal-prep,Muscle gain,High-protein",None,2,Occasionally,2,394,200,Credit Card,3,5,1,4,2,2,3,1,5,4,Maybe,3x/week,3,"Nutrition labels,Loyalty points,Family plans,Fast delivery",No,Maybe,Free meals,Epigamia,More vegan options
26,Prefer not to say,111714,Delhi NCR,Full-time,9,12,1,Yes,4,"Cleaning up,No time,No ideas,No skills",20.4,Hired help,"Chinese,South Indian,Vegan,Continental",Vegan,3,"Balanced meals,Sustainable eating,Gut health,Low-calorie,Immune boost,Diabetes-friendly,Muscle gain,Gluten-free",Eggs,1,Never,3,248,400,Credit Card,1,2,5,3,4,2,1,5,3,4,Definitely,3x/week,3,"Cancel-anytime,Easy cooking,Customizable,No cleanup,Fast delivery,Family plans",Maybe,No,Free meals,Epigamia,Calorie tracker
34,Non-binary,148004,Mumbai,Part-time,8,14,5,Only on weekends,4,"Not cost-effective,Grocery hassle,Portioning issues,No ideas",21.6,Parent,"South Indian,Healthy Superfoods,North Indian,Continental,Italian,Thai,Asian",Vegetarian,1,"Gut health,Quick meal-prep,Immune boost,Weight loss,Low-calorie","Lactose,Gluten,Soy",5,Never,4,268,200,Cash,4,1,2,3,5,3,5,4,1,2,Definitely,On-demand,3,"Loyalty points,Nutrition labels,Cancel-anytime,App-based tracking,No cleanup,Fast delivery,Family plans",Definitely,Maybe,Not important,Epigamia,None
31,Female,45355,Chennai,Freelancer,10,14,2,No,3,"Not cost-effective,No skills,No time,Waste of ingredients,Grocery hassle,Don't enjoy it,Portioning issues",19.8,Self,"Continental,South Indian,Chinese,Fusion,Mexican,North Indian,Italian,Vegan",Eggetarian,4,"Immune boost,Low-calorie,Balanced meals,Sustainable eating,Muscle gain,High-protein,Low-carb,Gut health",Soy,2,Never,2,328,150,Debit Card,4,3,5,2,1,3,5,4,2,1,Maybe,On-demand,3,"Loyalty points,App-based tracking,Recipe variety,Customizable,No cleanup,Easy cooking",No,Definitely,Free meals,FreshMenu,None
40,Prefer not to say,65021,Hyderabad,Freelancer,7,53,4,Yes,1,"Don't enjoy it,Waste of ingredients,No skills,Portioning issues,Too tired",20.0,Parent,"Keto/High-protein,Asian,Continental,Fusion",Vegetarian,7,"Gluten-free,Quick meal-prep,Balanced meals,High-protein,Immune boost,Gut health","Eggs,Soy,Nuts",4,Never,0,340,350,UPI,3,2,5,1,4,1,5,2,4,3,Unlikely,Daily,3,"Family plans,Fast delivery,Loyalty points,Customizable",Definitely,Definitely,Not important,FreshMenu,Calorie tracker
38,Prefer not to say,88665,Delhi NCR,Homemaker,9,5,2,Yes,1,"Grocery hassle,Don't enjoy it,No ideas,No time,Too tired,Not cost-effective,Cleaning up",20.1,Parent,"Mexican,Thai,Chinese,Continental,Keto/High-protein,North Indian",Non-Vegetarian,6,"Gluten-free,Quick meal-prep,Low-calorie,Gut health,Weight loss,Balanced meals,Immune boost,Low-carb","Lactose,Eggs",1,Never,7,377,250,Credit Card,3,2,5,1,4,2,1,3,4,5,Maybe,Daily,5,"No cleanup,Easy cooking,Family plans,App-based tracking,Fast delivery,Customizable",Definitely,Definitely,Not important,Subway,Reusable packaging
27,Non-binary,70172,Other,Consultant,8,34,1,Only on weekends,2,"Portioning issues,Don't enjoy it,Waste of ingredients,No time,Too tired",19.0,Alternates,"Mexican,Italian,Thai,Continental",Mixed,1,"Sustainable eating,Weight loss,Quick meal-prep,Muscle gain,Gluten-free","Gluten,Lactose,Soy",3,Never,1,87,200,UPI,3,4,1,5,2,5,2,4,3,1,Maybe,On-demand,5,"Recipe variety,Easy cooking,Cancel-anytime,Family plans,Customizable",No,Definitely,Not important,Subway,Calorie tracker
34,Female,68293,Mumbai,Student,8,8,4,Yes,3,"No skills,Not cost-effective,Cleaning up,Waste of ingredients,Don't enjoy it",19.8,Alternates,"North Indian,Italian,Chinese,Asian",Vegan,3,"Muscle gain,Low-carb,Quick meal-prep,Gut health",Nuts,2,Never,0,332,250,Credit Card,5,3,1,4,2,2,1,5,4,3,Definitely,Weekly batch,1,"Recipe variety,Loyalty points,Easy cooking,Fast delivery,Nutrition labels",Definitely,Maybe,Not important,None,More vegan options
43,Female,85786,Mumbai,Student,9,65,7,Yes,4,"Portioning issues,No skills,Not cost-effective,Waste of ingredients,Too tired,No time,Grocery hassle",19.9,Partner,"Asian,Thai,Healthy Superfoods,Vegan",Mixed,6,"Muscle gain,Low-calorie,Sustainable eating,Immune boost,Balanced meals,Weight loss,Gluten-free,Quick meal-prep","None,Eggs,Gluten",4,Occasionally,3,298,300,Debit Card,4,5,3,1,2,4,3,5,2,1,Unlikely,On-demand,1,"Easy cooking,App-based tracking,Recipe variety,Nutrition labels",Maybe,Definitely,Discounts,None,More vegan options
21,Non-binary,52092,Bangalore,Student,7,5,6,Yes,3,"Grocery hassle,Waste of ingredients,No skills,Cleaning up,Portioning issues,Not cost-effective,Don't enjoy it,No ideas",20.1,Self,"Vegan,Italian,South Indian,Thai,Chinese,Continental",Eggetarian,0,"Gut health,Low-calorie,Weight loss,Diabetes-friendly,Immune boost,Gluten-free,Muscle gain,Balanced meals","Lactose,Gluten",2,Occasionally,6,497,150,Credit Card,1,5,3,4,2,4,5,2,1,3,Definitely,Weekly batch,7,"App-based tracking,Easy cooking,Nutrition labels,Loyalty points,Recipe variety,Family plans,Cancel-anytime,No cleanup",Definitely,Definitely,Free meals,EatFit,None
30,Female,90255,Mumbai,Freelancer,8,84,4,No,3,"Too tired,Portioning issues,No time,Not cost-effective",19.3,Partner,"Thai,Keto/High-protein,Italian,South Indian,North Indian",Eggetarian,6,"Diabetes-friendly,Balanced meals,Muscle gain,Low-carb,Gluten-free",Soy,1,Occasionally,7,361,150,Debit Card,5,4,3,2,1,1,4,5,2,3,Unlikely,On-demand,7,"Easy cooking,Recipe variety,App-based tracking,Cancel-anytime,Customizable,Family plans",Definitely,Definitely,Free meals,Subway,Calorie tracker
25,Female,58667,Chennai,Homemaker,10,26,3,No,2,"No skills,No ideas,Grocery hassle,Cleaning up,Portioning issues",21.4,Self,"Fusion,Mexican,Keto/High-protein,Healthy Superfoods,Italian",Mixed,2,"High-protein,Sustainable eating,Gut health,Low-calorie,Muscle gain,Quick meal-prep,Weight loss","Eggs,Lactose",3,Occasionally,0,187,150,Debit Card,1,5,3,2,4,5,1,2,4,3,Maybe,3x/week,1,"Easy cooking,Fast delivery,App-based tracking,Family plans,Loyalty points,Cancel-anytime,Nutrition labels",Definitely,Definitely,Free meals,None,Calorie tracker
35,Non-binary,192137,Hyderabad,Student,7,5,4,Yes,1,"Portioning issues,Grocery hassle,Don't enjoy it,Waste of ingredients,Cleaning up,Not cost-effective,No skills,Too tired",19.9,Partner,"Thai,Fusion,Continental,Asian,South Indian,Vegan",Vegan,6,"Diabetes-friendly,Gut health,Muscle gain,High-protein,Balanced meals,Low-calorie","Lactose,Nuts",3,Regularly,3,436,250,Wallets,2,5,1,4,3,5,1,3,2,4,Maybe,3x/week,2,"App-based tracking,No cleanup,Cancel-anytime,Nutrition labels,Customizable",Definitely,Maybe,Free meals,None,Reusable packaging
37,Prefer not to say,80293,Delhi NCR,Freelancer,8,5,4,No,4,"Grocery hassle,Portioning issues,Don't enjoy it,No skills,Not cost-effective,Cleaning up,Waste of ingredients",18.9,Self,"Italian,Vegan,South Indian,Fusion,Healthy Superfoods,Asian,North Indian",Non-Vegetarian,4,"Muscle gain,Diabetes-friendly,Balanced meals,High-protein,Low-carb,Quick meal-prep,Sustainable eating","Lactose,Soy",1,Occasionally,5,337,200,Wallets,3,2,1,4,5,3,2,1,5,4,Unlikely,On-demand,6,"Cancel-anytime,App-based tracking,Nutrition labels,Loyalty points,Recipe variety",Definitely,Maybe,Not important,None,None
26,Non-binary,148710,Mumbai,Part-time,7,51,3,Yes,4,"Don't enjoy it,No time,Too tired,Waste of ingredients,No skills,No ideas,Not cost-effective,Cleaning up",19.7,Partner,"Continental,Asian,South Indian,Vegan,Italian,North Indian,Thai,Mexican",Vegan,0,"Sustainable eating,Weight loss,Balanced meals,Gluten-free,Low-calorie,Muscle gain,Gut health","Lactose,Nuts",2,Never,1,271,350,Debit Card,3,5,4,1,2,4,2,1,3,5,Definitely,3x/week,1,"Nutrition labels,Fast delivery,Family plans,Cancel-anytime,Customizable",No,Definitely,Free meals,Epigamia,Calorie tracker
35,Male,121458,Delhi NCR,Full-time,9,16,3,No,4,"No ideas,Not cost-effective,Don't enjoy it,Cleaning up,Grocery hassle,Portioning issues",18.4,Parent,"Continental,Healthy Superfoods,Asian,Vegan",Mixed,5,"High-protein,Gluten-free,Low-calorie,Quick meal-prep","Eggs,Soy",2,Never,5,314,300,UPI,3,4,2,1,5,4,3,5,1,2,Definitely,On-demand,1,"Easy cooking,Customizable,Fast delivery,No cleanup,Loyalty points",No,Definitely,Discounts,EatFit,Reusable packaging
33,Male,109372,Bangalore,Freelancer,7,25,7,Yes,2,"Don't enjoy it,Portioning issues,No skills,No ideas,Cleaning up,Too tired,Not cost-effective",18.7,Hired help,"Chinese,South Indian,Asian,Fusion,Mexican,Vegan,Italian",Eggetarian,1,"Gut health,Gluten-free,High-protein,Muscle gain,Low-calorie,Diabetes-friendly",None,2,Never,3,349,150,Credit Card,2,4,1,5,3,4,2,3,1,5,Definitely,On-demand,5,"Recipe variety,Easy cooking,No cleanup,Cancel-anytime,Fast delivery,Nutrition labels,Customizable",Definitely,Definitely,Discounts,None,Calorie tracker
39,Female,87579,Pune,Full-time,10,5,3,Yes,2,"Don't enjoy it,Grocery hassle,No skills,No ideas,Not cost-effective,Cleaning up",20.8,Hired help,"Vegan,South Indian,Keto/High-protein,Asian,Healthy Superfoods,Fusion,Italian,Thai",Vegan,5,"Weight loss,Immune boost,High-protein,Gut health,Low-calorie,Gluten-free,Quick meal-prep,Sustainable eating","Eggs,Lactose",4,Never,4,242,400,Debit Card,4,3,2,1,5,2,4,5,3,1,Definitely,3x/week,3,"Fast delivery,Recipe variety,No cleanup,Loyalty points,Cancel-anytime,Family plans",Definitely,Definitely,Free meals,Epigamia,Reusable packaging
43,Female,96694,Delhi NCR,Freelancer,7,24,7,Only on weekends,3,"Waste of ingredients,Too tired,No ideas,Don't enjoy it,Grocery hassle,Portioning issues,Cleaning up,No skills",20.7,Self,"Vegan,Mexican,Chinese,Healthy Superfoods,Italian,North Indian,Continental",Mixed,7,"Gut health,Immune boost,Sustainable eating,Low-calorie,Weight loss,Balanced meals,Quick meal-prep,Low-carb",Nuts,3,Never,5,239,150,Wallets,5,2,4,3,1,4,5,3,2,1,Definitely,Daily,4,"Fast delivery,Loyalty points,App-based tracking,Recipe variety,Easy cooking,Cancel-anytime",Maybe,Definitely,Discounts,Epigamia,More vegan options
25,Non-binary,108855,Bangalore,Part-time,10,37,3,No,2,"Cleaning up,Grocery hassle,Waste of ingredients,Don't enjoy it,Portioning issues,Not cost-effective,Too tired",20.8,Hired help,"North Indian,Italian,Fusion,South Indian,Continental,Thai,Asian",Vegetarian,7,"Gut health,Quick meal-prep,Immune boost,Low-carb,Weight loss,Low-calorie","Gluten,Eggs",5,Never,6,451,200,Credit Card,1,2,5,4,3,4,2,5,1,3,Maybe,On-demand,7,"No cleanup,Loyalty points,Customizable,Family plans",Definitely,Maybe,Not important,EatFit,Reusable packaging
30,Prefer not to say,59176,Delhi NCR,Consultant,7,72,4,Only on weekends,3,"Not cost-effective,Too tired,Don't enjoy it,No ideas,Grocery hassle,Portioning issues,No skills,Cleaning up",19.2,Partner,"Italian,Mexican,Keto/High-protein,Vegan,Thai,Asian,North Indian",Vegan,6,"Gluten-free,Diabetes-friendly,Low-calorie,Weight loss,Quick meal-prep,Immune boost,Muscle gain","Soy,Nuts",4,Regularly,4,370,350,Debit Card,5,2,1,3,4,2,1,4,5,3,Maybe,Daily,6,"Nutrition labels,Loyalty points,No cleanup,Customizable,Fast delivery",No,Maybe,Free meals,FreshMenu,Reusable packaging
30,Male,129772,Mumbai,Homemaker,9,13,6,Yes,2,"No ideas,No time,Portioning issues,Not cost-effective,Too tired,No skills,Cleaning up",19.7,Self,"Healthy Superfoods,Keto/High-protein,South Indian,Italian,Thai,Chinese",Vegan,7,"Muscle gain,Sustainable eating,Low-calorie,Low-carb,High-protein","Gluten,Soy",3,Never,0,517,400,Debit Card,5,2,1,4,3,5,3,1,2,4,Definitely,3x/week,4,"Customizable,Nutrition labels,Family plans,App-based tracking,Easy cooking,Recipe variety",Maybe,No,Free meals,None,More vegan options
35,Non-binary,56778,Mumbai,Full-time,7,56,4,Only on weekends,3,"Grocery hassle,Waste of ingredients,Too tired,No skills",20.5,Parent,"Mexican,Healthy Superfoods,Italian,Continental,Keto/High-protein",Vegan,3,"Gut health,Quick meal-prep,High-protein,Muscle gain,Sustainable eating","None,Nuts,Lactose",5,Regularly,3,290,350,Cash,3,4,1,5,2,1,4,5,2,3,Maybe,On-demand,5,"Loyalty points,Cancel-anytime,Family plans,Fast delivery",Definitely,Definitely,Discounts,FreshMenu,More vegan options
36,Non-binary,66755,Bangalore,Full-time,10,9,6,Yes,4,"No ideas,Portioning issues,Waste of ingredients,Too tired,Don't enjoy it",19.6,Parent,"South Indian,Fusion,Vegan,Asian,Italian,North Indian,Keto/High-protein",Vegan,6,"Diabetes-friendly,Low-carb,Weight loss,Quick meal-prep,Low-calorie,Gut health,Gluten-free,Sustainable eating","Eggs,Soy",2,Regularly,5,368,200,Debit Card,1,5,3,2,4,2,5,1,3,4,Maybe,Daily,2,"Recipe variety,Cancel-anytime,Customizable,Family plans",Definitely,Maybe,Discounts,FreshMenu,Reusable packaging
33,Non-binary,48605,Hyderabad,Consultant,9,16,7,No,4,"Grocery hassle,No time,No ideas,Waste of ingredients,Portioning issues,Too tired",20.4,Self,"Fusion,Keto/High-protein,Continental,Vegan,Italian,Mexican",Eggetarian,6,"Low-calorie,Balanced meals,Diabetes-friendly,Muscle gain,Sustainable eating",Gluten,3,Never,2,318,300,UPI,4,2,5,1,3,2,3,4,1,5,Unlikely,Daily,5,"Nutrition labels,Family plans,Recipe variety,Fast delivery,Loyalty points",Maybe,Maybe,Discounts,None,Calorie tracker
27,Non-binary,122119,Pune,Part-time,9,27,1,Only on weekends,4,"Cleaning up,Too tired,Portioning issues,No skills,Grocery hassle",21.1,Hired help,"Mexican,Vegan,Italian,Thai,Fusion,Asian,Keto/High-protein",Eggetarian,7,"Immune boost,Sustainable eating,Gluten-free,Low-carb","Nuts,Soy",1,Occasionally,3,1500,400,Credit Card,3,2,1,4,5,4,2,5,3,1,Maybe,On-demand,6,"Cancel-anytime,No cleanup,Fast delivery,Easy cooking,Recipe variety,Family plans,Customizable",Definitely,Maybe,Not important,Epigamia,More vegan options
23,Male,54975,Chennai,Full-time,9,40,2,No,1,"Don't enjoy it,Not cost-effective,Waste of ingredients,No time,Grocery hassle",20.5,Alternates,"Fusion,Mexican,North Indian,Healthy Superfoods,Continental,Vegan,Keto/High-protein",Vegan,4,"Low-calorie,Weight loss,Muscle gain,Balanced meals,Diabetes-friendly,Gut health,Quick meal-prep,Immune boost",Gluten,2,Never,4,301,250,Debit Card,1,3,2,4,5,2,3,4,1,5,Definitely,On-demand,4,"Cancel-anytime,Nutrition labels,Loyalty points,Fast delivery,Easy cooking,App-based tracking,Customizable,Recipe variety",Maybe,Definitely,Discounts,None,More vegan options
37,Prefer not to say,142162,Other,Student,9,20,4,Yes,3,"Too tired,No ideas,Portioning issues,No time",21.5,Alternates,"Healthy Superfoods,Continental,Vegan,Italian,Fusion",Non-Vegetarian,1,"Immune boost,Gluten-free,Weight loss,High-protein,Balanced meals,Muscle gain,Quick meal-prep,Diabetes-friendly","Eggs,None,Soy",3,Regularly,4,352,300,Wallets,5,4,2,1,3,1,3,5,4,2,Definitely,On-demand,6,"Recipe variety,Fast delivery,Loyalty points,Nutrition labels,App-based tracking",Definitely,Definitely,Free meals,Subway,More vegan options
30,Female,108376,Bangalore,Homemaker,7,17,3,Yes,5,"Portioning issues,No time,Grocery hassle,Too tired,Cleaning up,Don't enjoy it",19.8,Alternates,"Healthy Superfoods,Vegan,Asian,Continental,Keto/High-protein",Non-Vegetarian,4,"Low-calorie,Sustainable eating,Diabetes-friendly,High-protein,Quick meal-prep,Low-carb","Soy,Nuts",4,Never,5,296,250,Credit Card,4,2,5,1,3,3,1,2,5,4,Unlikely,Weekly batch,4,"Recipe variety,No cleanup,Family plans,Loyalty points,Cancel-anytime,Easy cooking",Definitely,Definitely,Free meals,Subway,Reusable packaging
28,Prefer not to say,39119,Hyderabad,Consultant,9,17,3,Yes,5,"Cleaning up,Don't enjoy it,No ideas,Waste of ingredients,Grocery hassle",20.0,Parent,"Mexican,Thai,South Indian,Continental,Keto/High-protein",Non-Vegetarian,4,"Low-calorie,Gut health,Diabetes-friendly,Balanced meals,Muscle gain",Soy,5,Occasionally,6,387,350,Cash,4,1,2,5,3,2,3,1,4,5,Unlikely,Weekly batch,7,"Easy cooking,Nutrition labels,App-based tracking,No cleanup,Cancel-anytime,Family plans,Fast delivery",Definitely,Definitely,Not important,None,Calorie tracker
32,Male,51983,Delhi NCR,Full-time,7,19,1,Yes,4,"Don't enjoy it,Not cost-effective,Waste of ingredients,Too tired,No time",20.7,Parent,"South Indian,Thai,North Indian,Keto/High-protein,Healthy Superfoods,Continental",Mixed,1,"Immune boost,Low-carb,Muscle gain,Diabetes-friendly,Quick meal-prep","Eggs,Soy",4,Regularly,6,491,400,Credit Card,4,5,1,3,2,5,4,2,1,3,Definitely,Daily,5,"Loyalty points,No cleanup,Fast delivery,App-based tracking",Definitely,Definitely,Not important,EatFit,Reusable packaging
43,Prefer not to say,138020,Delhi NCR,Freelancer,10,74,5,Yes,5,"No skills,No ideas,Waste of ingredients,No time,Cleaning up,Don't enjoy it,Portioning issues,Too tired",18.0,Partner,"Continental,Keto/High-protein,Healthy Superfoods,Asian,Fusion,Chinese,South Indian,Mexican",Vegan,2,"Diabetes-friendly,Sustainable eating,Low-calorie,Immune boost,Muscle gain,Gut health,Low-carb,Quick meal-prep",Nuts,1,Occasionally,3,314,300,Cash,4,5,3,2,1,4,5,1,3,2,Maybe,3x/week,3,"Family plans,Customizable,App-based tracking,Easy cooking",Maybe,Maybe,Free meals,None,More vegan options
28,Non-binary,112505,Pune,Consultant,7,5,5,No,2,"No skills,Too tired,Grocery hassle,Portioning issues,No time,Don't enjoy it,No ideas",19.9,Self,"South Indian,Chinese,Fusion,Italian,Continental,Keto/High-protein,Thai",Non-Vegetarian,3,"Weight loss,Quick meal-prep,Gluten-free,Muscle gain,Low-calorie","Eggs,Gluten,Nuts",3,Occasionally,4,238,350,UPI,4,1,2,5,3,2,5,3,4,1,Maybe,On-demand,4,"App-based tracking,Family plans,Recipe variety,Customizable,Cancel-anytime",Definitely,Maybe,Discounts,EatFit,Reusable packaging
41,Non-binary,69988,Bangalore,Homemaker,3,5,3,No,3,"Don't enjoy it,Portioning issues,Too tired,Not cost-effective",21.8,Parent,"Italian,Thai,Keto/High-protein,Vegan,Asian,Fusion",Eggetarian,5,"Weight loss,High-protein,Sustainable eating,Immune boost",Gluten,4,Occasionally,6,332,200,Credit Card,3,2,4,1,5,3,1,2,4,5,Definitely,Weekly batch,6,"Recipe variety,Easy cooking,Loyalty points,Nutrition labels,Cancel-anytime",Definitely,Definitely,Discounts,None,None
24,Non-binary,115488,Other,Freelancer,12,10,2,Yes,1,"Waste of ingredients,Cleaning up,Grocery hassle,No skills",21.0,Partner,"South Indian,Vegan,Healthy Superfoods,North Indian,Asian",Eggetarian,5,"Gut health,Diabetes-friendly,Balanced meals,Sustainable eating,Low-carb",Lactose,2,Never,6,241,250,Wallets,2,5,4,1,3,5,3,4,1,2,Definitely,3x/week,6,"Family plans,Nutrition labels,Customizable,Cancel-anytime,Recipe variety,Loyalty points,Easy cooking",Definitely,Maybe,Not important,Epigamia,Reusable packaging
24,Female,72752,Pune,Freelancer,11,5,5,Only on weekends,1,"Cleaning up,No skills,No time,No ideas",17.5,Self,"Vegan,Thai,Keto/High-protein,Continental,Healthy Superfoods,Italian,Chinese",Vegetarian,2,"High-protein,Low-calorie,Immune boost,Muscle gain,Low-carb,Balanced meals",Eggs,3,Occasionally,1,218,250,Wallets,2,1,4,3,5,1,4,3,5,2,Maybe,3x/week,1,"No cleanup,Nutrition labels,App-based tracking,Customizable",No,Definitely,Not important,Subway,Calorie tracker
